ul. Zwycięstwa 37 75-022 Koszalin
ul. Piłsudskiego 16A 78-500 Drawsko Pomorskie
ulica Kościuszki 6 73-150 Łobez
ul. 3 Marca 8 78-300 Świdwin
ul. Bohaterów Warszawy 1 72-200 Nowogard
ul. Wojska Polskiego 39 70-473 Szczecin
ul. Śląska 32a  Szczecin
ul. Stary Rynek 5 63-720 Koźmin Wielkopolski
Rynek 30 56-100 Wołów
ul. Wojska Polskiego 70 97-400 Bełchatów
ul. Jagiellońska 2 33-200 Dąbrowa Tarnowska
Al. Józefa Piłsudskiego 25 Jastrzębie-zdrój
ul. Ruczki 10/9 36-100 Kolbuszowa
ul. Matki Boskiej Bolesnej 5 34-600 Limanowa
Plac Jana Pawła II 31 17-300 Siemiatycze
Aleja Niepodległości 2A/7 19-100 Mońki
Adama Mickiewicza 35B Pułtusk
pl. 3-go Maja 16 Lubań
Wesoła 12c Chocianów
Polska 3/18 12-100
3-go Maja 4 Zgierz
Rynek 9 Kruszwica
1 Listopada 17 Kleczew
600-lecia 9 Kleczew
os. Konstytucji 3 Maja 14a Jarocin
pl. Powstańców Wielkopolskich 1 Murowana Goślina
os. B. Śmiałego N1 Poznań
Wojciechowskiego 7-17 Poznań
Św. Marcin 66/72 Poznań
Ks.Prymasa S. Wyszyńskiego 4 Chodzież
Marzysz Drugi 12, 26-021
ul. Stefana Okrzei 47/51, 25-526
al. Marszałka Józefa Piłsudskiego 23, 26-110
os. Słoneczne 33, 27-400 
al. Tysiąclecia 22, 26-110 
ul. marsz. Piłsudskiego 13, 28-400
Czarnocin 67, 28-506 
ul. inż. Władysława Rogowskiego 14, 27-200
ul. Aleja Armii Krajowej 19, 27-200
ul. Ignacego Paderewskiego 9 lok. 4 , 25-017
os. Wzgórze 56, 27-530
Chobrzany 111, 27-650
ul. Aleja Józefa Piłsudskiego 6, 28-300
pl. Floriański 1 lok. 309 , 26-110
ul. Wspólna 1 lok. M5 , 25-003
al. IX Wieków Kielc 6 lok. 9 , 25-516
Gosań 150, 26-220
Stary Garbów 82, 27-620
Dąbrowa Górnicza 3 Maja 14
Gliwice Bohaterów Getta Warszawskiego 5-5a
Zabrze Wolności 265-267
Katowice pl. Miarki 8
Mikołów Rynek 6
Zabrze Teatralny 12
Tomaszów Mazowiecki Św.Antoniego 34
Grodzisk Mazowiecki 11 Listopada 21
Łapy Nowy Rynek 15
Mońki Wyzwolenia 4A
Łubiana Zakładowa 1
WarszawaPowstańców Śląskich 122
WarszawaJugosławiańska 19 / Fieldorfa
WarszawaBolesławicka 10/12
WarszawaAl. Jerozolimskie 144C
WarszawaKrańcowa 50/Kleszczowa
xL_Obok Gminy 15 98-285, Wróblew
xL_obok remizy Ochotniczej Straży Pożarnej 405 D 37-310, Wola Zarczycka
xL_Tarnowskie Z-dy Ceramiki Budowlanej S.A. Leier 2 33-150, Wola Rzędzińska
xL_centrum miejscowości-budynek Urzędu Gminy 57 21-426, Wola Mysłowska
xL_centrum miejscowości-budynek Urzędu Gminy 191 A 21-523, Tuczna
xL_obok bazaru handlowego 33 28-142, Tuczępy
xL_centrum miejscowości 66 B 21-421, Tuchowicz
xL_Centrum miejscowości - budynek Urzędu Gminy 119 23-230, Trzydnik Duży
xL_w budynku Gminy 99 32-353, Trzyciąż
xL_centrum miejscowości-budynek Urzędu Gminy 194 22-554, Trzeszczany Pierwsze
xL_Delikatesy PREMIUM 842 36-001, Trzebownisko
xL_obok budynku Urzędu Miasta i Gminy, przystanku PKS 528 37-303, Kuryłówka
xL_Budynek wolnostojący Gmnna Sp.SCH 13 99-314, Krzyżanów
xL_w budynku Urzędu Gminy 36 37-755, Krzywcza
xL_obok sklepu spożywczego 78 34-200, Krzeszów
xL_przy Urzędzie Gminy 23 B 19-120, Krypno Kościelne
xL_centrum miejscowości na prawo trasy Zamość-Tom.L. 84 E 22-610, Krynice
xL_Ochotnicza Straż Pożarna 37 38-232, Krempna
Wolności 90 42-665, Pyrzowice
Przemysłowa 2 99-418, Bełchów
Mikołaja Kopernika 9 59-213, Krotoszyce
Jawor 1/10 59-426, Męcinka
Katowicka 64 41-405, Mysłowice
Al. Generała Tadeusza Bora-Komorowskiego 41 31-876, Kraków
Julianowska 90F 05-516, Julianów
WOP 7 72-020, Trzebież
Przeginia 116 32-049, Przeginia
Tęczowy Las 5/U4 10-677, Bartąg
Wiączyń Dolny 53 92-700, Wiączyń Dolny
Głogowska 6 67-222, Jerzmanowa
Generała Władysława Sikorskiego 13 32-054, Skawina
Mikołaja Kopernika 3 84-120, Władysławowo (Karwia)
Pocztowa 1 59-610, Wleń
Wisztyniecka 23A 16-407, Wiżajny
Plac Kapitana Władysława Raginisa 12 18-430, Wizna
Stefana Starzyńskiego 6 A 99-335, Witonia
Janka Krasickiego 14 66-460, Witnica
Belzacka 176/178 97-300, Piotrków Trybunalski
Stanisława Wyspiańskiego 33-35 64-920, Piła
